transaction_id,user_id,amount,currency,timestamp,payment_method,ip_address,card_number
16710fca-2248-4227-9acf-44468b108a3f,user_2,4625.42,AUD,2025-04-24T09:03:08.989630,credit_card,215.255.233.214,************7793
94ac096c-fcd2-4006-9147-90d403f404aa,user_15,4713.22,CAD,2025-04-20T21:00:08.989809,crypto,75.63.13.136,************5593
10049048-872b-4bdd-bb8f-20d41641c10d,user_8,1246.57,EUR,2025-04-23T15:40:08.989844,paypal,171.76.93.109,************4060
3ec2a2fc-03e3-40b4-a2ef-3f9c2080c7ab,user_3,2299.36,EUR,2025-04-21T22:14:08.989877,paypal,31.1.184.174,************2141
168a3d11-eaba-495e-9dba-d335917b674a,user_2,80.25,EUR,2025-04-19T13:04:08.989903,credit_card,137.15.82.22,************8519
8ada79c5-0942-40a8-9330-d0aa9f221769,user_11,1257.2,USD,2025-04-22T03:25:08.989927,credit_card,107.146.156.176,************2671
e8aec147-6b22-4b82-b4fc-dfa261798aa3,user_17,4450.6,JPY,2025-04-19T21:04:08.989950,bank_transfer,245.192.67.31,************3349
9fa6d63a-6b4c-4b37-8a96-5aef7808463a,user_17,3223.81,JPY,2025-04-24T23:43:08.989979,credit_card,165.183.69.67,************8516
2c220205-a3b4-4ce5-970e-a133ad7240db,user_2,1203.11,AUD,2025-04-26T08:55:08.990005,crypto,77.55.66.143,************7936
a777106e-b008-428f-8dc4-440a2bfc40c3,user_6,4929.25,USD,2025-04-26T16:17:08.990028,debit_card,17.22.57.184,************8050
44013207-0eec-4701-9a19-70d15b72b36b,user_5,62.04,CAD,2025-04-21T02:12:08.990051,credit_card,107.142.174.35,************6902
9b2f530e-610a-4488-91ad-0fee261d4398,user_11,2823.45,GBP,2025-04-20T06:18:08.990072,crypto,141.24.54.130,************7670
0e4fe31e-e092-4316-b9c7-f60527a323a8,user_11,4732.15,CAD,2025-04-26T19:56:08.990094,debit_card,76.46.54.190,************1627
b9883275-2d01-476a-9ae0-b5d4c0a7783b,user_6,4648.52,JPY,2025-04-25T17:54:08.990114,crypto,156.46.240.254,************9496
2bdd0d08-2a29-4ce8-9bdd-ac8d21d87531,user_5,1541.65,CAD,2025-04-23T19:41:08.990135,bank_transfer,65.49.220.15,************6358
f05dde1e-a6f8-4278-84d3-019f24b4571a,user_16,4579.73,JPY,2025-04-24T23:29:08.990155,credit_card,61.253.12.72,************7285
47055d72-aa69-4950-a79d-409db270ad29,user_12,1371.37,JPY,2025-04-24T09:49:08.990175,credit_card,106.69.225.119,************5437
5095ce4d-ad13-4917-b268-cf303bb32a50,user_6,1545.79,JPY,2025-04-25T15:54:08.990199,paypal,58.152.92.51,************5334
1f2d5afd-4b12-4540-a5d6-78545fb33e65,user_2,4082.96,USD,2025-04-26T08:48:08.990220,crypto,184.99.116.158,************5516
3c455237-91f4-4deb-907e-6959b14cd24b,user_7,4690.06,CAD,2025-04-20T04:43:08.990240,crypto,29.62.235.70,************1459
5255b602-32b1-4eff-a4d2-9db5ef2eab99,user_15,1061.56,AUD,2025-04-19T04:34:08.990260,debit_card,83.152.243.1,************7698
6ce8b1d7-6ceb-4eb1-98e7-a7450f9f8a6a,user_13,4543.03,EUR,2025-04-26T10:25:08.990280,paypal,40.196.137.84,************5927
fa8f02f7-d77f-4036-8150-85f580526f3a,user_10,872.26,EUR,2025-04-26T19:25:08.990299,debit_card,88.28.52.53,************9372
8dddd176-74f8-41b8-bc38-23f5338552d6,user_6,2718.84,EUR,2025-04-22T21:02:08.990319,bank_transfer,170.233.131.25,************8611
96eab62b-a01d-4a98-a160-c5bae0614e61,user_19,3535.72,JPY,2025-04-26T13:28:08.990339,paypal,114.26.89.201,************3756
16725ee0-126b-45d5-aeb6-794860ed0520,user_3,2433.7,USD,2025-04-25T04:00:08.990362,paypal,230.4.235.130,************7181
0212dae9-3ab9-464a-ae45-637431271235,user_5,566.34,EUR,2025-04-26T02:37:08.990383,paypal,34.118.220.177,************5648
779c3563-f7c5-456e-9b86-c926978cd3ed,user_11,4870.54,JPY,2025-04-19T14:37:08.990403,paypal,129.248.249.22,************9868
0cb76625-d815-4d7f-a518-b847a31278c8,user_14,1002.92,USD,2025-04-22T17:29:08.990423,credit_card,153.113.83.171,************7393
65f70aae-a9bb-4d89-9d69-f96f6d145c76,user_16,3283.78,CAD,2025-04-24T17:16:08.990443,debit_card,56.140.140.77,************3753
1ae8f380-52d7-431c-a94c-7b364250a9ab,user_3,4879.5,AUD,2025-04-25T19:11:08.990463,crypto,160.183.241.103,************6273
7aebb033-bd8d-491a-a652-c3c280b266c9,user_14,1166.38,EUR,2025-04-24T06:22:08.990483,bank_transfer,180.221.139.205,************4444
